CODIGO,ALTERNO,NOMBRE,INVENTARIO
6417019283548,OS630D12P,OS630D12P - 1SCA022825R3810,2
6417019296623,OTM250E3CM24D,OTM250E3CM24D MOTORIZED C/O SWITCH,2
6417019389554,OT16F3,OT16F3 - 1SCA104811R1001,6
6417019390000,OT25F3,OT25F3 - 1SCA104857R1001,24
6417019390451,OT40F3,OT40F3 - 1SCA104902R1001,5
6417019391359,OT100F3,OT100F3 - 1SCA105004R1001,24
6417019391908,OT125FT3,OT125FT3 - 1SCA105060R1001,6
6417019391984,OT30F3,OT30F3 - 1SCA105068R1001,1
6417019397016,OT80F3,OT80F3 - 1SCA105798R1001,5
6417019411668,OHBS2RJ,Manija Selector IP65 para OT16FT&125FT Negro/rojo,28
6417019411682,OHBS3AH,Manija Selector IP54 para OT16&125F,22
6417019412276,OHYS2AJ1,"Manija Selector IP65 para OT16&125F, color amarilla/rojo",278
6417019412450,OHYS3AH,Manija Selector tamaño 2 amarilla/roja,17
6417019416151,OHBS12,Manija Selector tamaño 1 negra,9
6417019420998,OS30FAJ12P,Seccionador Portafusible 30A para Fusible Americano Tipo J,1
6417019467986,OS32GD12P,OS32GD12P - 1SCA114581R1001,77
6417019516837,OTM80F3CMA230V,"Transferencia OTM mini Motorizada 80A, de seccionadores 0+0,",13
6417019544762,OTDC250E11P,OTDC250E11P - 1SCA123702R1001,1
6417019602332,OHF1C4,Manija especial,1
662019160719,1SNA892461R1500,polarizado p/ colocar en riel DIN,27
662019287171,1SNA290488R0100,"BJ 612-10 Jumper bar, 10 poles, for R600",78
6943747170770,1TNE968903R0203,TA571-SIM Digital input simulator,1
7320500202128,1SFA616070R1134,"KL70-113L Módulo torreta, azul",4
7320500202135,1SFA616070R1138,"KL70-113C Módulo torreta, claro",10
7320500202173,1SFA616070R3224,LIGHT ELEMENT#KL70-322L,3
7320500202227,1SFA616070R1234,LIGHT ELEMENT#KL70-123L,10
7320500202258,1SFA616070R3022,KL70-302 G LUZ PERMA,4
7320500202272,1SFA616070R3024,LIGHT ELEMENT#KL70-302L,11
7320500202623,1SFA616077R1013,KA70-1013 Base para tubo,106
7320500202630,1SFA616077R1021,KA70-1021 Tubo,4
7320500202739,1SFA616080R1232,KSB-123G Faro de señalización,3
7320500202746,1SFA616080R1233,KSB-123Y Faro de señalización,7
7320500202784,1SFA616080R2032,KSB-203G Faro de señalización,8
7320500202791,1SFA616080R2033,KSB-203Y Faro de señalización,8
7320500202876,1SFA616080R3063,KSB-306Y Faro de señalización,49
7320500204221,1SFA616950R1001,KTR1-1001 Transformador,3
7320500207819,1SFN155110R8406,OPERATING COIL#ZA300#110V 50Hz,2
7320500215319,1SFN165110R1000,ARC CHUTES#ZW300,28
7320500222256,1SFN086104R1000,INTERCONN. BAR#BES750-30,4
7320500227220,1SFN076107R1000,TERMINAL ENLARG#LW750,10
7320500239384,1SFA616070R3068,KL70-306C Módulo torreta,10
7320500240823,1SFA619100R1025,CP1-10W-20 Botón pulsador,50
7320500242896,1SFA619102R1022,CP3-10G-20 Botón pulsador,67
7320500260975,1SFA611100R1001,MP1-10R Botón pulsador rojo,35
7320500260982,1SFA611100R1002,MP1-10G Botón pulsador verde,49
7320500266724,1SFA611101R1103,MP2-11Y Botón pulsador,11
7320500268049,1SFA611102R1104,MP3-11L Botón pulsador azul,46
7320500274866,1SFA611124R1001,MPM1-10R Botón pulsador tipo Hongo rojo,9
7320500276693,1SFA611130R1106,MPD1-11B Botón doble rojo-verde,140
7320500283295,1SFA611200R1001,M2SS1-10R Switch selector,2
7320500283325,1SFA611200R1101,M2SS1-11R Switch selector rojo,37
7320500290019,1SFA611204R1001,M2SS5-10R Switch selector,7
7320500290033,1SFA611204R1007,M2SS5-10U Switch selector,10
7320500294581,1SFA611211R1006,M3SS2-10B Switch selector negro 3 pos,70
7320500296974,1SFA611213R1001,M3SS4-10R Switch selector,34
7320500296998,1SFA611213R1007,M3SS4-10U Switch selector,7
7320500301562,1SFA611221R1006,M2SSV2-10B Switch selector,180
7320500306161,1SFA611400R1002,ML1-100G Luz piloto verde,36
7320500306178,1SFA611400R1003,ML1-100Y Luz piloto amarillo,178
7320500307021,1SFA611510R1001,MPMT3-10R Paro de emergencia,6
7320500308233,1SFA611301R1006,MTS2-10B Switch selector Toggle,9
7320500308837,1SFA619552R1071,CE4K1-10R-11 Paro de emergencia,72
7320500375693,1SFA611701R6006,MJS1-60B Botón Joystick,18
7320500375730,1SFA611705R6006,MJS5-60B Botón Joystick,33
7320500375747,1SFA611706R6006,MJS6-60B Botón Joystick,4
7320500375754,1SFA611707R6006,MJS7-60B Joystick,48
7320500375761,1SFA611708R6006,MJS8-60B Joystick,30
7320500375792,1SFA611711R6006,MJS11-60B Joystick,81
7320500375808,1SFA611712R6006,MJS12-60B Joystick,24
7320500376409,1SFA619126R1072,CPM3-10G-11 Botón hongo-pulsador verde,9
7320500376416,1SFA619126R1073,CPM3-10Y-11 Botón hongo-pulsador amarillo,5
7320500400609,1SFA897102R7000,SOFTSTARTER PSE25-600-70,7
7320500400623,1SFA897104R7000,SOFTSTARTER PSE37-600-70,1
7320500400630,1SFA897105R7000,SOFTSTARTER PSE45-600-70,2
7320500400647,1SFA897106R7000,SOFTSTARTER PSE60-600-70,3
7320500475652,1SFA619403R5133,CL2-513Y new Luz piloto compacta amarillo LED 110-130 Vca,6
7320500480779,1SFN085813R1000,Connection bars#BEY370-4,4
7320503748876,1SFA616070R3421,KL70-342R Módulo torreta Intermitente rojo  115 Vca,1
7320503749248,1SFA616070R3428,KL70-342C Módulo torreta,4
7320503749620,1SFA616070R3524,KL70-352L Módulo torreta Intermitente azul 230 Vca,11
7320503749798,1SFA616070R3528,KL70-352C Módulo torreta,6
7392696310246,2CMA131024R1000,Medidor digital de potencia LCD 7 Digitos 3F ODIN OD4165,2
7392696424004,2CMA142400R1000,BW225DP - 2CMA142400R1000,31
7392696424080,2CMA142408R1000,BW340TPN - 2CMA142408R1000,9
7392696665261,2CMA166526R1000,Ind. P&S#432P7W,10
7392696668002,2CMA166800R1000,CLAVIJA AEREA ESTETICA 3P+N+T 63A 480V,19
7392696668309,2CMA166830R1000,CLAVIJA AEREA ESTETICA 3P+N+T 125A 480V,5
7392696669849,2CMA166984R1000,BASE EMP/INCLINADA ESTETICA 3P+N+T 32A 480V,9
7392696671439,2CMA167143R1000,BASE EMP/INCLINADA ESTETICA 3P+N+T 125A 480V,9
7392696674669,2CMA167466R1000,BASE EMP/INCLINADA ESTETICA 3P+N+T 63A 480V,17
7392696705547,2CMA170554R1000,A41 111 - 100,5
7392696808194,2CMA180819R1000,KWH METER#DAB 11000,2
7612270303625,2CCF008944R0001,S503-K8,16
7612270303632,2CCF008945R0001,S503-K11,16
782856878247,564800,TFPBC800X450 TRENCILLA FLEXIBLE 2000AMPS,3
785901904649,9070T100D1,TRANSFORMADOR DE CONTROL 100 VA 277-120V CAT.9070T100D1,12
8000126102956,1SL1931A00,Cerradura con Llave MISTRAL65,11
8000126103281,1SL1929A00,Cubremódulos 12M MISTRAL65,20
8000126124941,LS12494,BARRA 2(3X16+8X10)2( CAT.  LS12494 ABB,4
8000126128581,M128580000,Juego Fijación a Muro,36
8000126128802,M128800000,Borne N+T 2x16 + 3x25,17
8000126210347,1SL2033A00,ESTETICA IP40 18M,1
8000126213737,1SL2080A00,"Puerta Opaca EUROPA IP40, 24M",5
8000126218107,1SL0340A00,Cerradura Con Llave GEMINI,10
8000126218343,1SL0351A00,Conjunto Anticondensación,6
8000126219661,1SL0296A00,Platina 150 mm Tamaño 1,3
8000126219692,1SL0297A00,Platina 150 mm Tamaño 2 y 3,43
